,Ingresos (miles de pesos),Periodo,Diferencia,Porcentaje_Crecimiento
34,2984054,2014-Q1,,
33,3270816,2014-Q2,286762.0,9.61
32,3478638,2014-Q3,207822.0,6.35
31,3950441,2014-Q4,471803.0,13.56
30,4876385,2015-Q1,925944.0,23.44
29,4701791,2015-Q2,-174594.0,-3.58
28,5153739,2015-Q3,451948.0,9.61
27,5376899,2015-Q4,223160.0,4.33
26,5936845,2016-Q1,559946.0,10.41
25,6534241,2016-Q2,597396.0,10.06
24,6912442,2016-Q3,378201.0,5.79
23,7483980,2016-Q4,571538.0,8.27
22,8701201,2017-Q1,1217221.0,16.26
21,9678647,2017-Q2,977446.0,11.23
20,10065998,2017-Q3,387351.0,4.0
19,11226127,2017-Q4,1160129.0,11.53
18,13171459,2018-Q1,1945332.0,17.33
17,14319467,2018-Q2,1148008.0,8.72
16,15410981,2018-Q3,1091514.0,7.62
15,16637687,2018-Q4,1226706.0,7.96
14,20207414,2019-Q1,3569727.0,21.46
13,20743118,2019-Q2,535704.0,2.65
12,21652748,2019-Q3,909630.0,4.39
11,24169251,2019-Q4,2516503.0,11.62
10,29946216,2020-Q1,5776965.0,23.9
9,32102476,2020-Q2,2156260.0,7.2
8,31997445,2020-Q3,-105031.0,-0.33
7,33539703,2020-Q4,1542258.0,4.82
6,36676371,2021-Q1,3136668.0,9.35
5,38239667,2021-Q2,1563296.0,4.26
4,42999944,2021-Q3,4760277.0,12.45
3,45467887,2021-Q4,2467943.0,5.74
2,55589997,2022-Q1,10122110.0,22.26
1,60335724,2022-Q2,4745727.0,8.54
0,67055930,2022-Q3,6720206.0,11.14
